iter	Passed	Remaining
0	148	147977
1	150	75210
2	154	51392
3	159	39622
4	164	32726
5	168	27881
6	172	24420
7	175	21713
8	177	19512
9	179	17728
10	182	16435
11	186	15335
12	188	14279
13	190	13441
14	193	12699
15	195	12050
16	199	11517
17	202	11038
18	205	10612
19	207	10161
20	209	9746
21	212	9435
22	213	9077
23	215	8745
24	216	8459
25	218	8178
26	218	7891
27	221	7683
28	223	7492
29	226	7323
30	228	7151
31	229	6955
32	230	6757
33	231	6588
34	232	6420
35	234	6285
36	236	6151
37	238	6027
38	240	5918
39	241	5805
40	243	5689
41	244	5579
42	245	5471
43	247	5367
44	248	5267
45	249	5173
46	250	5083
47	251	4996
48	253	4920
49	254	4841
50	255	4761
51	256	4685
52	257	4607
53	258	4535
54	259	4464
55	260	4395
56	261	4327
57	262	4262
58	263	4200
59	264	4137
60	264	4078
61	265	4021
62	266	3964
63	267	3914
64	268	3864
65	269	3812
66	270	3761
67	270	3712
68	271	3664
69	272	3617
70	272	3571
71	273	3527
72	274	3484
73	275	3442
74	275	3400
75	276	3360
76	277	3321
77	277	3283
78	278	3246
79	279	3210
80	279	3174
81	280	3139
82	280	3102
83	281	3070
84	282	3039
85	283	3013
86	284	2984
87	285	2954
88	285	2926
89	286	2897
90	287	2869
91	288	2842
92	288	2815
93	289	2788
94	290	2762
95	290	2737
96	291	2712
97	292	2689
98	292	2665
99	293	2642
100	294	2619
101	294	2596
102	295	2575
103	296	2553
104	297	2531
105	297	2513
106	298	2492
107	299	2474
108	300	2456
109	301	2439
110	302	2421
111	303	2402
112	303	2383
113	304	2365
114	305	2347
115	305	2330
116	306	2311
117	307	2294
118	307	2278
119	308	2263
120	309	2246
121	309	2229
122	310	2214
123	311	2198
124	311	2183
125	312	2167
126	313	2154
127	314	2142
128	315	2129
129	316	2115
130	316	2102
131	317	2088
132	318	2075
133	319	2061
134	319	2048
135	320	2036
136	321	2023
137	322	2011
138	322	1999
139	323	1987
140	324	1975
141	324	1961
142	325	1949
143	325	1937
144	326	1925
145	327	1914
146	328	1904
147	329	1894
148	330	1885
149	330	1875
150	331	1864
151	332	1853
152	333	1843
153	333	1833
154	334	1822
155	335	1813
156	335	1803
157	336	1793
158	337	1783
159	337	1774
160	338	1763
161	339	1753
162	339	1744
163	340	1735
164	341	1725
165	341	1717
166	342	1708
167	343	1699
168	344	1692
169	345	1684
170	345	1676
171	346	1668
172	347	1660
173	348	1652
174	348	1644
175	349	1636
176	350	1627
177	350	1620
178	351	1612
179	352	1605
180	353	1597
181	353	1589
182	354	1582
183	355	1575
184	355	1567
185	356	1560
186	357	1552
187	357	1545
188	358	1538
189	359	1532
190	360	1527
191	361	1520
192	362	1513
193	362	1507
194	363	1501
195	364	1494
196	365	1487
197	365	1482
198	366	1476
199	367	1470
200	368	1463
201	368	1457
202	369	1451
203	370	1445
204	371	1439
205	371	1433
206	372	1427
207	373	1422
208	374	1416
209	375	1411
210	376	1406
211	376	1400
